key,name,side_effects
602016,Modafinil,"['headache', 'dizziness', 'difficulty falling asleep or staying asleep', 'drowsiness', 'nausea', 'diarrhea', 'constipation', 'gas', 'heartburn', 'loss of appetite', 'unusual tastes', 'dry mouth', 'excessive thirst', 'nosebleed', 'flushing', 'sweating', 'tight muscles or difficulty moving', 'back pain', 'confusion', 'uncontrollable shaking of a part of your body', 'burning, tingling, or numbness of the skin', 'difficulty seeing or eye pain', 'rash', 'blisters', 'peeling skin', 'mouth sores', 'hives', 'itching', 'hoarseness', 'difficulty breathing or swallowing', 'swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'chest pain', 'fast, pounding, or irregular heartbeat', 'frenzied, abnormally excited mood', 'hallucinating (seeing things or hearing voices that do not exist)', 'anxiety', 'depression', 'thinking about killing or harming yourself']"
626007,Sevabertinib,"['nausea', 'mouth sores', 'changes in nail color or thickness, swelling around the nails', 'diarrhea', 'yellowing of the skin or whites of the eyes, tiredness, dark urine, lower abdominal pain, clay-colored stools, loss of appetite, bruising easily', 'trouble breathing, shortness of breath, coughing, or fever', 'changes in vision or loss of vision', 'nausea, vomiting, weight loss, stomach pain that may spread around to your back']"
682007,Phenobarbital,"['drowsiness', 'headache', 'dizziness', 'excitement or increased activity (especially in children)', 'nausea', 'vomiting', 'slowed breathing or difficulty breathing', 'swelling of the eyes, lips, or cheeks', 'rash', 'blistering or peeling skin', 'fever', 'confusion']"
682577,Chlorzoxazone,"['upset stomach', 'drowsiness', 'dizziness', 'lightheadedness', 'weakness', 'skin rash or itching', 'yellowing of the skin or eyes', 'stomach pain']"
608039,Pilocarpine,"['sweating', 'nausea', 'runny nose', 'diarrhea', 'chills', 'flushing', 'frequent urination', 'dizziness', 'weakness', 'headache', 'vomiting', 'heartburn', 'stomach pain', 'swelling of the arms, hands, feet, ankles, or lower legs', 'changes in vision', 'fast or slow heartbeat']"
610015,Asenapine,"['dry mouth', 'nausea', 'increased appetite, weight gain', 'increase in amount of saliva in the mouth', 'change in taste', 'loss of feeling in the lips or mouth', 'dizziness, feeling unsteady, or having trouble keeping your balance', 'excessive tiredness', 'restlessness or constant urge to keep moving', 'rash, itching, hives; difficulty breathing or swallowing; hoarseness; wheezing; swelling of the face, throat, tongue, lips, eyes, hands, feet, ankles, or lower legs', 'fever; stiff muscles; sweating; confusion; sweating; or fast, pounding, or irregular\r\nheartbeat', 'spasm or tightening of the neck muscles', 'uncontrollable movements of the arms, legs, face, mouth, tongue, jaw, lips or cheeks', 'falling down', 'seizures', 'sore throat, chills, cough, and other signs of infection', 'red or brown colored urine']"
699015,Sildenafil,"['headache', 'heartburn', 'diarrhea', 'nausea', 'flushing (feeling of warmth)', 'nosebleeds', 'numbness, burning, or tingling in the arms, hands, feet, or legs', 'pain in muscles, back, arms, or legs', 'changes in color vision (seeing a blue tinge on objects or having difficulty telling the difference between blue and green)', 'sensitivity to light', 'nasal congestion', 'sudden severe loss of vision (see below for more information)', 'blurred vision', 'sudden decrease or loss of hearing', 'ringing in ears', 'dizziness or lightheadedness', 'fainting', 'chest pain', 'worsening shortness of breath', 'erection that is painful or lasts longer than 4 hours', 'rash; itching; hives; difficulty breathing or swallowing; swelling of the eyes, face, throat, tongue, or lips']"
621039,Ibrexafungerp,"['diarrhea', 'nausea', 'vomiting', 'stomach pain', 'dizziness', 'headache', 'frequent, urgent, or painful urination', 'unusual tiredness']"
681004,Acetaminophen,"['red, peeling or blistering skin; rash; hives; itching; swelling of the face, throat, tongue, lips, hands, feet, ankles or lower legs; hoarseness; difficulty breathing or swallowing', 'yellowing of the skin or whites of the eyes; upper belly pain; dark urine; pale stools']"
682187,Phentermine,"['dry mouth', 'unpleasant taste', 'diarrhea', 'constipation', 'vomiting', 'increased blood pressure', 'heart palpitations', 'restlessness', 'dizziness', 'tremor', 'insomnia', 'shortness of breath', 'chest pain', 'swelling of the legs and ankles', 'difficulty doing exercise that you have been able to do']"
616030,Midodrine,"['numbness and tingling', 'scalp itching', 'goose bumps', 'chills', 'frequent urination', 'urgent need to urinate', 'difficulty urinating', 'rash', 'stomach pain', 'slow heartbeat', 'dizziness', 'fainting']"
