key,name
615049,Trifluridine and Tipiracil
615050,Cariprazine
615051,Penicillin G Benzathine Injection
615052,Penicillin G Procaine Injection
615053,Penicillin G Benzathine and Penicillin G Procaine Injection
615054,Eluxadoline
615055,Insulin Degludec (rDNA Origin) Injection
615057,Cobimetinib
615058,Mepolizumab Injection
615059,Trabectedin Injection
616001,Elotuzumab Injection
616002,Daratumumab Injection
616003,Naloxone Nasal Spray
616004,Amphetamine
616005,Osimertinib
616006,Talimogene Laherparepvec Injection
616007,Alectinib
616008,Ixazomib
616009,Necitumumab Injection
616010,Irinotecan Lipid Complex Injection
616011,Rifapentine
616012,Patiromer
616013,Polymyxin B and Trimethoprim Ophthalmic
616014,Cyclopentolate Ophthalmic
616015,Lesinurad
616016,Elbasvir and Grazoprevir
616017,Posaconazole Injection
616018,Amphotericin B Liposomal Injection
616019,Buprenorphine Buccal (chronic pain)
616020,Uridine Triacetate
616021,"Emtricitabine, Rilpivirine, and Tenofovir disoproxil fumarate"
616022,Dexamethasone Injection
616023,Reslizumab Injection
616024,Defibrotide Injection
616025,Ixekizumab Injection
616026,Brivaracetam Injection
616027,Brivaracetam
616028,Venetoclax
616029,Cobicistat
616030,Midodrine
616031,Selexipag
616032,Pimavanserin
616033,Obeticholic Acid
616034,Sofosbuvir and Velpatasvir
616035,Atezolizumab Injection
616036,Daclizumab Injection
616037,Cabozantinib
616038,Diphenhydramine Injection
616039,Lifitegrast Ophthalmic
616040,"Dasabuvir, Ombitasvir, Paritaprevir, and Ritonavir"
616041,Calcifediol
616042,Ergocalciferol
616043,Doxercalciferol
616044,Doxercalciferol Injection
616045,Dapsone Topical
616046,Furosemide Injection
616047,Methylnaltrexone
616048,"Efavirenz, Emtricitabine, and Tenofovir disoproxil fumarate"
616049,Phenylephrine Nasal Spray
616051,"Abacavir, Lamivudine, and Zidovudine"
616052,Tazarotene Topical
616053,Olaratumab Injection
617001,Hydrocortisone Rectal
617002,Rucaparib
617003,Bezlotoxumab Injection
617004,Cromolyn Ophthalmic
617005,Lixisenatide Injection
617006,Avelumab Injection
617007,Niraparib
617008,Ribociclib
617009,Brodalumab Injection
617010,Nusinersen Injection
617011,Etelcalcetide Injection
617012,Prasterone Vaginal
617013,Parathyroid Hormone Injection
617014,Aspirin and Omeprazole
617015,"Abacavir, Dolutegravir, and Lamivudine"
617016,Brigatinib
617017,Doxepin (Insomnia)
