key,name
617018,Oxymetazoline Topical
617019,Crisaborole Topical
617020,Plecanatide
617021,Dupilumab Injection
617022,Deutetrabenazine
617023,Valbenazine
617024,Deflazacort
617025,Safinamide
617026,Ocrelizumab Injection
617027,Edaravone Injection
617028,Ammonium Lactate Topical
617029,Telotristat
617030,Durvalumab Injection
617031,Naldemedine
617032,Sarilumab Injection
617033,Midostaurin
617034,Neratinib
617035,L-glutamine
617036,Guselkumab Injection
617037,"Sofosbuvir, Velpatasvir, and Voxilaprevir"
617038,Abaloparatide Injection
617039,Glecaprevir and Pibrentasvir
617040,Enasidenib
617041,Inotuzumab Ozogamicin Injection
617042,Aprepitant/Fosaprepitant Injection
617043,Benznidazole
617044,Copanlisib Injection
617045,Daunorubicin and Cytarabine Lipid Complex Injection
617046,Delafloxacin
617047,Delafloxacin Injection
617048,Meropenem and Vaborbactam Injection
617049,Abemaciclib
617050,Betrixaban
617051,Metronidazole Vaginal
617052,Secnidazole
617053,Tisagenlecleucel Injection
618001,Latanoprostene Bunod Ophthalmic
618002,Benralizumab Injection
618003,Axicabtagene Ciloleucel Injection
618004,Acalabrutinib
618005,Gemtuzumab Ozogamicin Injection
618006,Letermovir
618007,Letermovir Injection
618008,Semaglutide Injection
618009,Tetrabenazine
618010,Ozenoxacin
618011,Ertugliflozin
618012,"Bictegravir, Emtricitabine, and Tenofovir Alafenamide"
618013,Ipratropium Nasal Spray
618014,Netarsudil Ophthalmic
618015,Buprenorphine Injection (opioid dependence)
618016,Glycopyrrolate Oral Inhalation
618017,"Fluticasone, Umeclidinium, and Vilanterol Oral Inhalation"
618018,Apalutamide
618019,Rolapitant Injection
618020,Ibalizumab-uiyk Injection
618021,Penicillamine
618022,Tezacaftor and Ivacaftor
618023,Recombinant Zoster (Shingles) Vaccine (RZV)
618024,Cholera Vaccine
618025,Fostamatinib
618026,Tildrakizumab-asmn injection
618027,Ciprofloxacin Otic
618028,"Efavirenz, Lamivudine, and Tenofovir disoproxil fumarate (DF)"
618029,Erenumab-aooe Injection
618030,"Neomycin, Polymyxin, Bacitracin, and Hydrocortisone Ophthalmic"
618031,"Neomycin, Polymyxin, and Hydrocortisone Otic"
618032,Avatrombopag
618033,Baricitinib
618034,Burosumab-twza Injection
618035,Sodium Zirconium Cyclosilicate
618036,Lofexidine
618037,Plazomicin Injection
618038,Eliglustat
618039,Lamivudine and Tenofovir
618040,Encorafenib
618041,Binimetinib
618042,Ivosidenib
618043,Lusutrombopag
618044,Elagolix
618045,"Darunavir, Cobicistat, Emtricitabine, and Tenofovir Alafenamide"
618046,Glycopyrronium Topical
618047,Eravacycline Injection
618048,Doravirine
618049,"Doravirine, Lamivudine, and Tenofovir disoproxil fumarate"
618050,Tafenoquine
618051,Cannabidiol
618052,Moxetumomab Pasudotox-tdfk Injection
618053,Fremanezumab-vfrm Injection
618054,Cemiplimab-rwlc Injection
618055,Dacomitinib
618056,Duvelisib
618057,Pegvaliase-pqpz Injection
618058,Clotrimazole Lozenge
618059,Clotrimazole Topical
618060,Miconazole Buccal
618061,Miconazole Topical
618062,Baloxavir Marboxil
618063,Galcanezumab-gnlm Injection
618064,Mogamulizumab-kpkc Injection
618065,Nystatin Topical
618066,Omadacycline
618067,Omadacycline Injection
618068,Sarecycline
618069,Stiripentol
618070,Talazoparib
619001,Cenegermin-bkbj Ophthalmic
619002,Epinephrine Oral Inhalation
619003,Gilteritinib
619004,Glasdegib
619005,Lorlatinib
619006,Larotrectinib
619007,Methoxy Polyethylene Glycol-Epoetin Beta Injection
619008,Paclitaxel (with albumin) Injection
619009,Revefenacin Oral Inhalation
619010,Rifamycin
619011,Prucalopride
619012,Alemtuzumab Injection (Multiple Sclerosis)
619013,"Magnesium Sulfate, Potassium Sulfate, and Sodium Sulfate"
619014,Ravulizumab-cwvz Injection
619015,Calaspargase pegol-mknl Injection
619017,Esketamine Nasal Spray
619018,Levodopa Oral Inhalation
619019,Magnesium Citrate
619020,Naltrexone and Bupropion
619021,PrabotulinumtoxinA-xvfs Injection
619022,Tagraxofusp-erzs Injection
