ml_name,db_name,ml_key
Fenfluramine,Fenfluramine,620045
Brompheniramine,Brompheniramine,682545
Valganciclovir,Valganciclovir,605021
Demeclocycline,Demeclocycline,682103
Desloratadine,Desloratadine,602002
Acyclovir,Acyclovir,681045
Tolbutamide,Tolbutamide,682481
Risdiplam,Risdiplam,625064
Deucravacitinib,Deucravacitinib,622067
Bupropion,Bupropion,695033
Cimetidine,Cimetidine,682256
Risperidone,Risperidone,694015
Mirdametinib,Mirdametinib,625043
Auranofin,Auranofin,685038
Cefuroxime,Cefuroxime,601206
Leucovorin,Leucovorin,682336
Gilteritinib,Gilteritinib,619003
Glasdegib,Glasdegib,619004
Oteseconazole,Oteseconazole,624030
Vigabatrin,Vigabatrin,610016
Olsalazine,Olsalazine,601088
Cefadroxil,Cefadroxil,682730
Diflunisal,Diflunisal,684037
Hydrocodone,Hydrocodone,614045
Esomeprazole,Esomeprazole,699054
Dinoprostone,Dinoprostone,682512
Sumatriptan,Sumatriptan,601116
Sarecycline,Sarecycline,618068
Verapamil,Verapamil,684030
Temazepam,Temazepam,684003
Ivermectin,Ivermectin,607069
Cevimeline,Cevimeline,608025
Etravirine,Etravirine,608016
Naloxegol,Naloxegol,615016
Phenylephrine,Phenylephrine,606008
Trandolapril,Trandolapril,697010
Hydralazine,Hydralazine,682246
Felodipine,Felodipine,692016
Bromocriptine,Bromocriptine,682079
Fosfomycin,Fosfomycin,697008
Tradipitant,Tradipitant,626024
Niacin,Niacin,682518
Ethambutol,Ethambutol,682550
Guanabenz,Guanabenz,686003
Infigratinib,Infigratinib,621041
Prazosin,Prazosin,682245
Metoprolol,Metoprolol,682864
Quetiapine,Quetiapine,698019
Arimoclomol,Arimoclomol,624065
Entacapone,Entacapone,601236
Isoniazid,Isoniazid,682401
Azacitidine,Azacitidine,620060
Capecitabine,Capecitabine,699003
Ivabradine,Ivabradine,615027
Elafibranor,Elafibranor,624039
Migalastat,Migalastat,625101
Apalutamide,Apalutamide,618018
Zonisamide,Zonisamide,603008
Atogepant,Atogepant,621052
Ranitidine,Ranitidine,601106
Dordaviprone,Dordaviprone,625097
Ibrexafungerp,Ibrexafungerp,621039
Prochlorperazine,Prochlorperazine,682116
Tasimelteon,Tasimelteon,615004
Daprodustat,Daprodustat,623010
Zanubrutinib,Zanubrutinib,620009
Sotorasib,Sotorasib,621036
Abacavir,Abacavir,699012
Upadacitinib,Upadacitinib,619051
Linezolid,Linezolid,602004
Sildenafil,Sildenafil,699015
Telithromycin,Telithromycin,604026
Abemaciclib,Abemaciclib,617049
Ensartinib,Ensartinib,625004
Macitentan,Macitentan,615033
Lindane,Lindane,682651
Anakinra,Anakinra,602001
Lumateperone,Lumateperone,620014
Eplerenone,Eplerenone,603004
Taletrectinib,Taletrectinib,625089
Sucralfate,Sucralfate,681049
Bleomycin,Bleomycin,682125
Ceritinib,Ceritinib,614027
Cefdinir,Cefdinir,698001
Sotalol,Sotalol,693010
Brigatinib,Brigatinib,617016
Epoprostenol,Epoprostenol,622042
Pimozide,Pimozide,686018
Dicloxacillin,Dicloxacillin,685017
Desvenlafaxine,Desvenlafaxine,608022
Osimertinib,Osimertinib,616005
Lisinopril,Lisinopril,692051
Atazanavir,Atazanavir,603019
Ondansetron,Ondansetron,601209
Flurbiprofen,Flurbiprofen,687005
Canagliflozin,Canagliflozin,613033
Meloxicam,Meloxicam,601242
Sulfasalazine,Sulfasalazine,682204
Voxelotor,Voxelotor,620011
Cannabidiol,Cannabidiol,618051
Deuruxolitinib,Deuruxolitinib,624047
Vinblastine,Vinblastine,682848
Methyldopa,Methyldopa,682242
Cefprozil,Cefprozil,698022
Capmatinib,Capmatinib,620038
Omeprazole,Omeprazole,693050
Eslicarbazepine,Eslicarbazepine,614032
Daridorexant,Daridorexant,622034
Doxazosin,Doxazosin,693045
Fluoxetine,Fluoxetine,689006
Temozolomide,Temozolomide,601250
Vancomycin,Vancomycin,604038
Oxazepam,Oxazepam,682050
Lenacapavir,Lenacapavir,623006
Seladelpar,Seladelpar,624062
Ziftomenib,Ziftomenib,626005
Pomalidomide,Pomalidomide,613030
Iloperidone,Iloperidone,609026
Cyclophosphamide,Cyclophosphamide,682080
Levocetirizine,Levocetirizine,607056
Rifapentine,Rifapentine,616011
Atrasentan,Atrasentan,625070
Methocarbamol,Methocarbamol,682579
Lomustine,Lomustine,682207
Adapalene,Adapalene,604001
Ibandronate,Ibandronate,605035
Tolazamide,Tolazamide,682482
Nateglinide,Nateglinide,699057
Pregabalin,Pregabalin,605045
Alitretinoin,Alitretinoin,601012
Darolutamide,Darolutamide,619045
Liothyronine,Liothyronine,682462
Ganciclovir,Ganciclovir,605011
Trihexyphenidyl,Trihexyphenidyl,682160
Sargramostim,Sargramostim,693005
Palifermin,Palifermin,605017
Nortriptyline,Nortriptyline,682620
Tetrabenazine,Tetrabenazine,618009
Colesevelam,Colesevelam,699050
Protriptyline,Protriptyline,604025
Pilocarpine,Pilocarpine,608039
Methylprednisolone,Methylprednisolone,682795
Lubiprostone,Lubiprostone,607034
Amlodipine,Amlodipine,692044
Fentanyl,Fentanyl,605043
Dexamethasone,Dexamethasone,682792
Vilazodone,Vilazodone,611020
Balsalazide,Balsalazide,699052
Phenelzine,Phenelzine,682089
Carbamazepine,Carbamazepine,682237
Ulipristal,Ulipristal,610020
Lorcaserin,Lorcaserin,613014
Aminophylline,Aminophylline,601015
Cobimetinib,Cobimetinib,615057
Lapatinib,Lapatinib,607055
Nirogacestat,Nirogacestat,624011
Rimegepant,Rimegepant,620031
Tinidazole,Tinidazole,604036
Vardenafil,Vardenafil,603035
Dexlansoprazole,Dexlansoprazole,609017
Ozenoxacin,Ozenoxacin,618010
Hepatitis A Vaccine,Hepatitis A Vaccine,695003
Glipizide,Glipizide,684060
Fluconazole,Fluconazole,690002
Tamoxifen,Tamoxifen,682414
Pancrelipase,Pancrelipase,604035
Testosterone,Testosterone,619028
Butabarbital,Butabarbital,682417
Acetaminophen,Acetaminophen,681004
Vadadustat,Vadadustat,624033
Orlistat,Orlistat,601244
Eszopiclone,Eszopiclone,605009
Procarbazine,Procarbazine,682094
Pretomanid,Pretomanid,619056
Levoketoconazole,Levoketoconazole,622025
Minoxidil,Minoxidil,682608
Exemestane,Exemestane,607006
Clopidogrel,Clopidogrel,601040
Adefovir,Adefovir,605024
Streptozocin,Streptozocin,684053
Pravastatin,Pravastatin,692025
Dicyclomine,Dicyclomine,684007
Atomoxetine,Atomoxetine,603013
Citalopram,Citalopram,699001
Toremifene,Toremifene,608003
Flurazepam,Flurazepam,682051
Isocarboxazid,Isocarboxazid,605036
Duloxetine,Duloxetine,604030
Imatinib,Imatinib,606018
Nevirapine,Nevirapine,600035
Sirolimus,Sirolimus,602026
Fluoxymesterone,Fluoxymesterone,682690
Etodolac,Etodolac,692015
Triclabendazole,Triclabendazole,619048
Entrectinib,Entrectinib,619049
Acetazolamide,Acetazolamide,682756
Chlorambucil,Chlorambucil,682899
Eletriptan,Eletriptan,603029
Pioglitazone,Pioglitazone,699016
Memantine,Memantine,604006
Pitavastatin,Pitavastatin,610018
Mechlorethamine,Mechlorethamine,682223
Isoxsuprine,Isoxsuprine,682831
Lasmiditan,Lasmiditan,620015
Talazoparib,Talazoparib,618070
Amphetamine,Amphetamine,616004
Delafloxacin,Delafloxacin,617046
Loxapine,Loxapine,682311
Revumenib,Revumenib,624077
Lamivudine,Lamivudine,696011
Trametinib,Trametinib,613040
Metoclopramide,Metoclopramide,684035
Deferasirox,Deferasirox,606002
Ibrutinib,Ibrutinib,614007
Mebendazole,Mebendazole,682315
Riociguat,Riociguat,615005
Gemifloxacin,Gemifloxacin,604014
Hydroxychloroquine,Hydroxychloroquine,601240
Linagliptin,Linagliptin,611036
Zongertinib,Zongertinib,625093
Clarithromycin,Clarithromycin,692005
Deflazacort,Deflazacort,617024
Isavuconazonium,Isavuconazonium,615031
Methylphenidate,Methylphenidate,682188
Etoposide,Etoposide,684055
Apremilast,Apremilast,614022
Clonidine,Clonidine,682243
Perampanel,Perampanel,614006
Quizartinib,Quizartinib,623034
Sertraline,Sertraline,697048
Neratinib,Neratinib,617034
Bumetanide,Bumetanide,684051
Crinecerfont,Crinecerfont,625009
Methotrexate,Methotrexate,682019
Tranylcypromine,Tranylcypromine,682088
Disopyramide,Disopyramide,682408
Aficamten,Aficamten,626021
Telmisartan,Telmisartan,601249
Buspirone,Buspirone,688005
Diphenhydramine,Diphenhydramine,682539
Solriamfetol,Solriamfetol,619040
Naproxen,Naproxen,681029
Famotidine,Famotidine,687011
Entecavir,Entecavir,605028
Gemfibrozil,Gemfibrozil,686002
Busulfan,Busulfan,682248
Midodrine,Midodrine,616030
Erythromycin,Erythromycin,682381
Moxidectin,Moxidectin,625105
Lenalidomide,Lenalidomide,608001
Dexmethylphenidate,Dexmethylphenidate,603014
Vandetanib,Vandetanib,612007
Methsuximide,Methsuximide,682028
Treprostinil,Treprostinil,622040
Montelukast,Montelukast,600014
Berotralstat,Berotralstat,626011
Sevelamer,Sevelamer,601248
Velmanase alfa,Velmanase alfa,623015
